Name,Description,Type
NAND_RB[1:0],NAND Flash Ready/Busy Bit,I
PA_EINT[21:0],GPIO A Interrupt,I
PF_EINT[6:0],GPIO F Interrupt,I
PG_EINT[13:0],GPIO G Interrupt,I
S_PL_EINT[11:0],GPIO L Interrupt,I
S_PWM,Pulse Width Modulation Output,O
PWM0,Pulse Width Modulation Output,O
S_CIR_RX,Consumer IR Data Receive,I
CSI_PCLK,CSI Pixel Clock,I
CSI_MCLK,CSI Master Clock,O
CSI_HSYNC,CSI Horizontal SYNC,I
CSI_VSYNC,CSI Vertical SYNC,I
CSI_D[7:0],CSI Data bit [7:0],I
CSI_SCK,CSI Command Serial Clock Signal,I/O
CSI_SDA,CSI Command Serial Data Signal,I/O
TS0_CLK,Transport Stream0 Clock,I
TS0_ERR,Transport Stream0 Error Indicate,I
TS0_SYNC,Transport Stream0 Sync,I
TS0_DVLD,Transport Stream0 Valid Signal,I
TS0_D[7:0],Transport Stream0 Data,I
TS1_CLK,Transport Stream1 Clock,I
TS1_ERR,Transport Stream1 Error Indicate,I
TS1_SYNC,Transport Stream1 Sync,I
TS1_DVLD,Transport Stream1 Valid Signal,I
TS1_D0,Transport Stream1 Data,I
TS2_CLK,Transport Stream2 Clock,I
TS2_ERR,Transport Stream2 Error Indicate,I
TS2_SYNC,Transport Stream2 Sync,I
TS2_DVLD,Transport Stream2 Valid Signal,I
TS2_D[7:0],Transport Stream2 Data,I
TS3_CLK,Transport Stream3 Clock,I
TS3_ERR,Transport Stream3 Error Indicate,I
TS3_SYNC,Transport Stream3 Sync,I
TS3_DVLD,Transport Stream3 Valid Signal,I
TS3_D0,Transport Stream3 Data,I
SPIx_CS,"SPIx Chip Select signal, Low Active",I/O
SPIx_CLK,SPIx Clock Signal,I/O
SPIx_MOSI,"SPIx Master Data Out, Slave Data In",I/O
SPIx_MISO,"SPIx Master Data In, Slave Data Out",I/O
UART0_TX,UART0 Data Transmit,O
UART0_RX,UART0 Data Receive,I
UART1_TX,UART1 Data Transmit,O
UART1_RX,UART1 Data Receive,I
UART1_CTS,UART1 Data Clear To Send,I
UART1_RTS,UART1 Data Request To Send,O
UART2_TX,UART2 Data Transmit,O
UART2_RX,UART2 Data Receive,I
UART2_CTS,UART2 Data Clear To Send,I
UART2_RTS,UART2 Data Request To Send,O
UART3_TX,UART3 Data Transmit,O
UART3_RX,UART3 Data Receive,I
UART3_CTS,UART3 Data Clear To Send,I
UART3_RTS,UART3 Data Request To Send,O
S_UART_TX,UART Data Transmit,O
S_UART_RX,UART Data Receive,I
TWIx_SCK,TWIx Serial Clock Signal,I/O
TWIx_SDA,TWIx Serial Data Signal,I/O
S_TWI_SCK,TWI Serial Clock Signal for CPUs,I/O
S_TWI_SDA,TWI Serial Data Signal for CPUs,I/O
SIMx_PWREN,Smart Card Power Enable,O
SIMx_CLK,Smart Card Clock,O
SIMx_DATA,Smart Card Data,I/O
SIMx_RST,Smart Card Reset,O
SIMx_DET,Smart Card Detect,I
SIMx_VPPEN,Smart Card Program Voltage Enable,O
SIMx_VPPPP,Smart Card Program Control,O
DI_TX,De-Interlacer Output,O
DI_RX,De-Interlacer Input,I
JTAG_CK,JTAG Clock Input,I
JTAG_DO,JTAG Data Output,O
JTAG_DI,JTAG Data Input,I
S_JTAG_MS,JTAG Mode Select Input for CPUs,I
S_JTAG_CK,JTAG Clock Input for CPUs,I
S_JTAG_DO,JTAG Data Output for CPUs,O
S_JTAG_DI,JTAG Data Input for CPUs,I
