allwinner_h5

Pin,Unit,Name,Type,Style
B10,GPIOE,CSI_PCLK/TS0_CLK/PE0,bidirectional,
A10,GPIOE,CSI_MCLK/TS0_ERR/PE1,bidirectional,
B11,GPIOE,CSI_HSYNC/TS0_SYNC/PE2,bidirectional,
C10,GPIOE,CSI_VSYNC/TS0_DVLD/PE3,bidirectional,
C9,GPIOE,CSI_D0/TS0_D0/PE4,bidirectional,
E10,GPIOE,CSI_D1/TS0_D1/PE5,bidirectional,
D10,GPIOE,CSI_D2/TS0_D2/PE6,bidirectional,
C8,GPIOE,CSI_D3/TS0_D3/TS1_CLK/PE7,bidirectional,
C11,GPIOE,CSI_D4/TS0_D4/TS1_ERR/PE8,bidirectional,
C12,GPIOE,CSI_D5/TS0_D5/TS1_SYNC/PE9,bidirectional,
E8,GPIOE,CSI_D6/TS0_D6/TS1_DVLD/PE10,bidirectional,
A11,GPIOE,CSI_D7/TS0_D7/TS1_D0/PE11,bidirectional,
B12,GPIOE,CSI_SCK/TWI2_SCK/PE12,bidirectional,
C7,GPIOE,CSI_SDA/TWI2_SDA/PE13,bidirectional,
C6,GPIOE,SIM1_VPPEN/PE14,bidirectional,
C5,GPIOE,SIM1_VPPPP/PE15,bidirectional,
D19,GPIOF,SDC0_D1/JTAG_MS/PF_EINT0/PF0,bidirectional,
A19,GPIOF,SDC0_D0/JTAG_DI/PF_EINT1/PF1,bidirectional,
D20,GPIOF,SDC0_CLK/UART0_TX/PF_EINT2/PF2,bidirectional,
F18,GPIOF,SDC0_CMD/JTAG_DO/PF_EINT3/PF3,bidirectional,
E21,GPIOF,SDC0_D3/UART0_RX/PF_EINT4/PF4,bidirectional,
C20,GPIOF,SDC0_D2/JTAG_CK/PF_EINT5/PF5,bidirectional,
G18,GPIOF,PF_EINT6/PF6,bidirectional,
H7,GPIOG,VCC-PG,power_in,
*,GPIOG,,,
J3,GPIOG,SDC1_CLK/PG_EINT0/PG0,bidirectional,
L2,GPIOG,SDC1_CMD/PG_EINT1/PG1,bidirectional,
H4,GPIOG,SDC1_D0/PG_EINT2/PG2,bidirectional,
F3,GPIOG,SDC1_D1/PG_EINT3/PG3,bidirectional,
C2,GPIOG,SDC1_D2/PG_EINT4/PG4,bidirectional,
C1,GPIOG,SDC1_D3/PG_EINT5/PG5,bidirectional,
G4,GPIOG,UART1_TX/PG_EINT6/PG6,bidirectional,
D3,GPIOG,UART1_RX/PG_EINT7/PG7,bidirectional,
C3,GPIOG,UART1_RTS/PG_EINT8/PG8,bidirectional,
E3,GPIOG,UART1_CTS/PG_EINT9/PG9,bidirectional,
M3,GPIOG,PCM1_SYNC/PG_EINT10/PG10,bidirectional,
D2,GPIOG,PCM1_CLK/PG_EINT11/PG11,bidirectional,
D1,GPIOG,PCM1_DOUT/PG_EINT12/PG12,bidirectional,
B1,GPIOG,PCM1_DIN/PG_EINT13/PG13,bidirectional,
N1,GPIOL,S_TWI_SCK/S_PL_EINT0/PL0,bidirectional,
M1,GPIOL,S_TWI_SDA/S_PL_EINT1/PL1,bidirectional,
P2,GPIOL,S_UART_TX/S_PL_EINT2/PL2,bidirectional,
R1,GPIOL,S_UART_RX/S_PL_EINT3/PL3,bidirectional,
N2,GPIOL,S_JTAG_MS/S_PL_EINT4/PL4,bidirectional,
R2,GPIOL,S_JTAG_CK/S_PL_EINT5/PL5,bidirectional,
T4,GPIOL,S_JTAG_DO/S_PL_EINT6/PL6,bidirectional,
T3,GPIOL,S_JTAG_DI/S_PL_EINT7/PL7,bidirectional,
T2,GPIOL,S_PL_EINT8/PL8,bidirectional,
M6,GPIOL,S_PL_EINT9/PL9,bidirectional,
V2,GPIOL,S_PWM/S_PL_EINT10/PL10,bidirectional,
U2,GPIOL,S_CIR_RX/S_PL_EINT11/PL11,bidirectional,
AA6,SYSTEM,NMI,input,
*,SYSTEM,,,
V6,SYSTEM,RESET,bidirectional,
*,SYSTEM,,,
T5,SYSTEM,TEST,input,
*,SYSTEM,,,
W6,SYSTEM,UBOOT,input,
*,SYSTEM,,,
A1,SYSTEM,JTAG-SEL0,input,
B2,SYSTEM,JTAG-SEL1,input,
AA5,ADC,KEYADC,input,analog
F10,TV_OUT,TVOUT,output,analog
*,TV_OUT,,,
G9,TV_OUT,V33-TV,power_in,
G7,EPHY,EPHY-VCC,power_in,
*,EPHY,,,
F8,EPHY,EPHY-VDD,power_in,
*,EPHY,,,
A2,EPHY,EPHY-LINK-LED,output,
F7,EPHY,EPHY-SPD-LED,output,
*,EPHY,,,
F6,EPHY,EPHY-RTX,input,analog
A4,EPHY,EPHY-RXN,bidirectional,
B4,EPHY,EPHY-RXP,bidirectional,
A3,EPHY,EPHY-TXN,bidirectional,
B3,EPHY,EPHY-TXP,bidirectional,
J6,HDMI,HVCC,power_in,
*,HDMI,,,
G5,HDMI,HCEC,bidirectional,
M2,HDMI,HHPD,bidirectional,
*,HDMI,,,
H3,HDMI,HSCL,output,
K3,HDMI,HSDA,bidirectional,
*,HDMI,,,
G1,HDMI,HTX0P,output,analog
F1,HDMI,HTX0N,output,analog
H2,HDMI,HTXIP,output,analog
G2,HDMI,HTX1N,output,analog
J1,HDMI,HTX2P,output,analog
J2,HDMI,HTX2N,output,analog
F2,HDMI,HTXCP,output,analog
E2,HDMI,HTXCN,output,analog
G11,USB,VCC-USB,power_in,
*,USB,,,
B5,USB,USB-DM0,bidirectional,
A5,USB,USB-DP0,bidirectional,
*,USB,,,
B7,USB,USB-DM1,bidirectional,
B6,USB,USB-DP1,bidirectional,
*,USB,,,
A8,USB,USB-DM2,bidirectional,
A7,USB,USB-DP2,bidirectional,
*,USB,,,
B9,USB,USB-DM3,bidirectional,
B8,USB,USB-DP3,bidirectional,
U3,AUDIO_CODEC,AGND,gnd,
*,AUDIO_CODEC,,,
V3,AUDIO_CODEC,AVCC,power_in,
*,AUDIO_CODEC,,,
W1,AUDIO_CODEC,LINEINR,input,analog
V1,AUDIO_CODEC,LINEINL,input,analog
*,AUDIO_CODEC,,,
Y3,AUDIO_CODEC,LINEOUTR,output,analog
AA3,AUDIO_CODEC,LINEOUTL,output,analog
*,AUDIO_CODEC,,,
W3,AUDIO_CODEC,MBIAS,output,analog
*,AUDIO_CODEC,,,
Y1,AUDIO_CODEC,MICIN1N,input,analog
W2,AUDIO_CODEC,MICIN1P,input,analog
*,AUDIO_CODEC,,,
AA2,AUDIO_CODEC,MICIN2N,input,analog
Y2,AUDIO_CODEC,MICIN2P,input,analog
*,AUDIO_CODEC,,,
Y4,AUDIO_CODEC,VRA1,output,analog
W5,AUDIO_CODEC,VRA2,output,analog
V4,AUDIO_CODEC,VRP,output,analog
V5,CLOCK,X32KIN,input,clock
U4,CLOCK,X32KOUT,output,analog
P3,CLOCK,X32KFOUT,open_collector,analog
*,CLOCK,,,
M4,CLOCK,RTC-VIO,output,analog
*,CLOCK,,,
K6,CLOCK,VCC-RTC,power_in,
*,CLOCK,,,
K2,CLOCK,X24MIN,input,clock
K1,CLOCK,X24MOUT,output,analog
K4,CLOCK,X24MFOUT,open_collector,analog
*,CLOCK,,,
L5,CLOCK,PLLTEST,open_collector,analog
*,CLOCK,,,
N3,CLOCK,VCC-PLL,power_in,
G10,EFUSE,VDD-EFUSE,power_in,
*,EFUSE,,,
H11,EFUSE,VDD-EFUSEBP,power_in,
J12,POWER,VDD-GPUFB,power_in,
*,POWER,,,
N8,POWER,VDD-CPUX,power_in,
P6,POWER,VDD-CPUX,power_in,
P7,POWER,VDD-CPUX,power_in,
P8,POWER,VDD-CPUX,power_in,
P9,POWER,VDD-CPUX,power_in,
R6,POWER,VDD-CPUX,power_in,
R7,POWER,VDD-CPUX,power_in,
R8,POWER,VDD-CPUX,power_in,
T6,POWER,VDD-CPUX,power_in,
T7,POWER,VDD-CPUX,power_in,
T8,POWER,VDD-CPUX,power_in,
U6,POWER,VDD-CPUX,power_in,
U9,POWER,VDD-CPUX,power_in,
*,POWER,,,
T10,POWER,VDD-CPUFB,output,analog
*,POWER,,,
J7,POWER,VDD-CPUS,power_in,
J8,POWER,VDD-CPUS,power_in,
*,POWER,,,
H10,POWER,VDD-SYS,power_in,
J10,POWER,VDD-SYS,power_in,
J11,POWER,VDD-SYS,power_in,
K10,POWER,VDD-SYS,power_in,
K11,POWER,VDD-SYS,power_in,
K12,POWER,VDD-SYS,power_in,
L10,POWER,VDD-SYS,power_in,
L11,POWER,VDD-SYS,power_in,
L12,POWER,VDD-SYS,power_in,
L13,POWER,VDD-SYS,power_in,
L14,POWER,VDD-SYS,power_in,
*,POWER,,,
G13,POWER,VCC-IO,power_in,
G14,POWER,VCC-IO,power_in,
H13,POWER,VCC-IO,power_in,
H14,POWER,VCC-IO,power_in,
J14,POWER,VCC-IO,power_in,
A21,GROUND,GND,gnd,
AA1,GROUND,GND,gnd,
G8,GROUND,GND,gnd,
H12,GROUND,GND,gnd,
H15,GROUND,GND,gnd,
H8,GROUND,GND,gnd,
J13,GROUND,GND,gnd,
J16,GROUND,GND,gnd,
J9,GROUND,GND,gnd,
K13,GROUND,GND,gnd,
K14,GROUND,GND,gnd,
K15,GROUND,GND,gnd,
K16,GROUND,GND,gnd,
K7,GROUND,GND,gnd,
K8,GROUND,GND,gnd,
K9,GROUND,GND,gnd,
L15,GROUND,GND,gnd,
L8,GROUND,GND,gnd,
L9,GROUND,GND,gnd,
M10,GROUND,GND,gnd,
M11,GROUND,GND,gnd,
M12,GROUND,GND,gnd,
M13,GROUND,GND,gnd,
M14,GROUND,GND,gnd,
M15,GROUND,GND,gnd,
M5,GROUND,GND,gnd,
M7,GROUND,GND,gnd,
M8,GROUND,GND,gnd,
M9,GROUND,GND,gnd,
N10,GROUND,GND,gnd,
N11,GROUND,GND,gnd,
N12,GROUND,GND,gnd,
N13,GROUND,GND,gnd,
N14,GROUND,GND,gnd,
N15,GROUND,GND,gnd,
N7,GROUND,GND,gnd,
N9,GROUND,GND,gnd,
P10,GROUND,GND,gnd,
P11,GROUND,GND,gnd,
P12,GROUND,GND,gnd,
P13,GROUND,GND,gnd,
P14,GROUND,GND,gnd,
P15,GROUND,GND,gnd,
R10,GROUND,GND,gnd,
R11,GROUND,GND,gnd,
R12,GROUND,GND,gnd,
R13,GROUND,GND,gnd,
R14,GROUND,GND,gnd,
R9,GROUND,GND,gnd,
T11,GROUND,GND,gnd,
T9,GROUND,GND,gnd,
