allwinner_h5

Pin,Unit,Name,Type,Style
*,EPHY,,,
G7,EPHY,EPHY-VCC,power_in,
*,EPHY,,,
F8,EPHY,EPHY-VDD,power_in,
G5,HDMI,HCEC,bidirectional,
M2,HDMI,HHPD,bidirectional,
*,HDMI,,,
H3,HDMI,HSCL,output,
K3,HDMI,HSDA,bidirectional,
*,HDMI,,,
G1,HDMI,HTX0P,output,analog
F1,HDMI,HTX0N,output,analog
H2,HDMI,HTXIP,output,analog
G2,HDMI,HTX1N,output,analog
J1,HDMI,HTX2P,output,analog
J2,HDMI,HTX2N,output,analog
F2,HDMI,HTXCP,output,analog
E2,HDMI,HTXCN,output,analog
*,HDMI,,,
J6,HDMI,HVCC,power_in,
B5,USB,USB-DM0,bidirectional,
A5,USB,USB-DP0,bidirectional,
*,USB,,,
B7,USB,USB-DM1,bidirectional,
B6,USB,USB-DP1,bidirectional,
*,USB,,,
A8,USB,USB-DM2,bidirectional,
A7,USB,USB-DP2,bidirectional,
*,USB,,,
B9,USB,USB-DM3,bidirectional,
B8,USB,USB-DP3,bidirectional,
*,USB,,,
G11,USB,VCC-USB,power_in,
U3,AUDIO_CODEC,AGND,gnd,
*,AUDIO_CODEC,,,
V3,AUDIO_CODEC,AVCC,power_in,
*,AUDIO_CODEC,,,
W1,AUDIO_CODEC,LINEINR,input,analog
V1,AUDIO_CODEC,LINEINL,input,analog
*,AUDIO_CODEC,,,
Y3,AUDIO_CODEC,LINEOUTR,output,analog
AA3,AUDIO_CODEC,LINEOUTL,output,analog
*,AUDIO_CODEC,,,
W3,AUDIO_CODEC,MBIAS,output,analog
*,AUDIO_CODEC,,,
Y1,AUDIO_CODEC,MICIN1N,input,analog
W2,AUDIO_CODEC,MICIN1P,input,analog
*,AUDIO_CODEC,,,
AA2,AUDIO_CODEC,MICIN2N,input,analog
Y2,AUDIO_CODEC,MICIN2P,input,analog
*,AUDIO_CODEC,,,
Y4,AUDIO_CODEC,VRA1,output,analog
W5,AUDIO_CODEC,VRA2,output,analog
V4,AUDIO_CODEC,VRP,output,analog
V5,CLOCK,X32KIN,input,clock
U4,CLOCK,X32KOUT,output,analog
P3,CLOCK,X32KFOUT,open_collector,analog
*,CLOCK,,,
M4,CLOCK,RTC-VIO,output,analog
*,CLOCK,,,
K6,CLOCK,VCC-RTC,power_in,
*,CLOCK,,,
K2,CLOCK,X24MIN,input,clock
K1,CLOCK,X24MOUT,output,analog
K4,CLOCK,X24MFOUT,open_collector,analog
*,CLOCK,,,
L5,CLOCK,PLLTEST,open_collector,analog
*,CLOCK,,,
N3,CLOCK,VCC-PLL,power_in,
G10,EFUSE,VDD-EFUSE,power_in,
*,EFUSE,,,
H11,EFUSE,VDD-EFUSEBP,power_in,
J12,POWER,VDD-GPUFB,power_in,
*,POWER,,,
N8,POWER,VDD-CPUX,power_in,
P6,POWER,VDD-CPUX,power_in,
P7,POWER,VDD-CPUX,power_in,
P8,POWER,VDD-CPUX,power_in,
P9,POWER,VDD-CPUX,power_in,
R6,POWER,VDD-CPUX,power_in,
R7,POWER,VDD-CPUX,power_in,
R8,POWER,VDD-CPUX,power_in,
T6,POWER,VDD-CPUX,power_in,
T7,POWER,VDD-CPUX,power_in,
T8,POWER,VDD-CPUX,power_in,
U6,POWER,VDD-CPUX,power_in,
U9,POWER,VDD-CPUX,power_in,
*,POWER,,,
T10,POWER,VDD-CPUFB,output,analog
*,POWER,,,
J7,POWER,VDD-CPUS,power_in,
J8,POWER,VDD-CPUS,power_in,
*,POWER,,,
H10,POWER,VDD-SYS,power_in,
J10,POWER,VDD-SYS,power_in,
J11,POWER,VDD-SYS,power_in,
K10,POWER,VDD-SYS,power_in,
K11,POWER,VDD-SYS,power_in,
K12,POWER,VDD-SYS,power_in,
L10,POWER,VDD-SYS,power_in,
L11,POWER,VDD-SYS,power_in,
L12,POWER,VDD-SYS,power_in,
L13,POWER,VDD-SYS,power_in,
L14,POWER,VDD-SYS,power_in,
*,POWER,,,
G13,POWER,VCC-IO,power_in,
G14,POWER,VCC-IO,power_in,
H13,POWER,VCC-IO,power_in,
H14,POWER,VCC-IO,power_in,
J14,POWER,VCC-IO,power_in,
A21,GROUND,GND,gnd,
AA1,GROUND,GND,gnd,
G8,GROUND,GND,gnd,
H12,GROUND,GND,gnd,
H15,GROUND,GND,gnd,
H8,GROUND,GND,gnd,
J13,GROUND,GND,gnd,
J16,GROUND,GND,gnd,
J9,GROUND,GND,gnd,
K13,GROUND,GND,gnd,
K14,GROUND,GND,gnd,
K15,GROUND,GND,gnd,
K16,GROUND,GND,gnd,
K7,GROUND,GND,gnd,
K8,GROUND,GND,gnd,
K9,GROUND,GND,gnd,
L15,GROUND,GND,gnd,
L8,GROUND,GND,gnd,
L9,GROUND,GND,gnd,
M10,GROUND,GND,gnd,
M11,GROUND,GND,gnd,
M12,GROUND,GND,gnd,
M13,GROUND,GND,gnd,
M14,GROUND,GND,gnd,
M15,GROUND,GND,gnd,
M5,GROUND,GND,gnd,
M7,GROUND,GND,gnd,
M8,GROUND,GND,gnd,
M9,GROUND,GND,gnd,
N10,GROUND,GND,gnd,
N11,GROUND,GND,gnd,
N12,GROUND,GND,gnd,
N13,GROUND,GND,gnd,
N14,GROUND,GND,gnd,
N15,GROUND,GND,gnd,
N7,GROUND,GND,gnd,
N9,GROUND,GND,gnd,
P10,GROUND,GND,gnd,
P11,GROUND,GND,gnd,
P12,GROUND,GND,gnd,
P13,GROUND,GND,gnd,
P14,GROUND,GND,gnd,
P15,GROUND,GND,gnd,
R10,GROUND,GND,gnd,
R11,GROUND,GND,gnd,
R12,GROUND,GND,gnd,
R13,GROUND,GND,gnd,
R14,GROUND,GND,gnd,
R9,GROUND,GND,gnd,
T11,GROUND,GND,gnd,
T9,GROUND,GND,gnd,
